Date;Number of flights
27 sept 2019;6 472
28 sept 2019;5 771
29 sept 2019;6 296
30 sept 2019;6 755
1 oct 2019;6 154
2 oct 2019;6 418
3 oct 2019;6 575
4 oct 2019;6 743
5 oct 2019;5 520
6 oct 2019;6 146
7 oct 2019;6 439
8 oct 2019;6 000
9 oct 2019;6 044
10 oct 2019;6 428
11 oct 2019;6 569
12 oct 2019;5 337
13 oct 2019;5 938
14 oct 2019;6 366
15 oct 2019;6 110
16 oct 2019;6 102
17 oct 2019;6 393
18 oct 2019;6 623
19 oct 2019;5 475
20 oct 2019;5 965
21 oct 2019;6 388
22 oct 2019;6 036
23 oct 2019;6 156
24 oct 2019;6 418
25 oct 2019;6 431
26 oct 2019;5 389
27 oct 2019;5 607
28 oct 2019;5 935
29 oct 2019;5 563
30 oct 2019;5 483
31 oct 2019;5 833
1 nov 2019;5 874
2 nov 2019;4 674
3 nov 2019;5 413
4 nov 2019;5 683
5 nov 2019;5 112
6 nov 2019;4 902
7 nov 2019;5 301
8 nov 2019;5 692
9 nov 2019;4 123
10 nov 2019;5 099
11 nov 2019;5 503
12 nov 2019;4 732
13 nov 2019;4 695
14 nov 2019;5 289
15 nov 2019;5 701
16 nov 2019;4 089
17 nov 2019;5 031
18 nov 2019;5 423
19 nov 2019;4 671
20 nov 2019;4 736
21 nov 2019;5 171
22 nov 2019;5 650
23 nov 2019;3 954
24 nov 2019;4 948
25 nov 2019;5 267
26 nov 2019;4 679
27 nov 2019;4 726
28 nov 2019;5 182
29 nov 2019;5 512
30 nov 2019;4 004
1 déc 2019;5 024
2 déc 2019;5 507
3 déc 2019;4 955
4 déc 2019;5 054
5 déc 2019;5 257
6 déc 2019;5 641
7 déc 2019;4 227
8 déc 2019;5 070
9 déc 2019;5 570
10 déc 2019;4 890
11 déc 2019;5 109
12 déc 2019;5 464
13 déc 2019;5 821
14 déc 2019;4 607
15 déc 2019;5 245
16 déc 2019;5 579
17 déc 2019;5 033
18 déc 2019;5 156
19 déc 2019;5 800
20 déc 2019;5 933
21 déc 2019;5 070
22 déc 2019;5 380
23 déc 2019;5 494
24 déc 2019;3 883
25 déc 2019;1 386
26 déc 2019;4 498
27 déc 2019;5 513
28 déc 2019;4 894
29 déc 2019;5 220
30 déc 2019;5 140
31 déc 2019;4 112
1 janv 2020;3 950
2 janv 2020;5 252
3 janv 2020;5 536
4 janv 2020;4 844
5 janv 2020;5 390
6 janv 2020;5 245
7 janv 2020;4 630
8 janv 2020;4 474
9 janv 2020;4 801
10 janv 2020;5 297
11 janv 2020;4 199
12 janv 2020;4 950
13 janv 2020;4 825
14 janv 2020;4 120
15 janv 2020;4 362
16 janv 2020;4 786
17 janv 2020;5 310
18 janv 2020;4 155
19 janv 2020;4 990
20 janv 2020;5 023
21 janv 2020;4 364
22 janv 2020;4 242
23 janv 2020;4 886
24 janv 2020;5 436
25 janv 2020;4 135
26 janv 2020;4 934
27 janv 2020;5 031
28 janv 2020;4 325
29 janv 2020;4 404
30 janv 2020;4 866
31 janv 2020;5 414
1 févr 2020;4 298
2 févr 2020;4 969
3 févr 2020;5 127
4 févr 2020;4 524
5 févr 2020;4 605
6 févr 2020;5 058
7 févr 2020;5 525
8 févr 2020;4 410
9 févr 2020;3 171
10 févr 2020;5 056
11 févr 2020;4 579
12 févr 2020;4 801
13 févr 2020;5 299
14 févr 2020;5 870
15 févr 2020;4 506
16 févr 2020;4 927
17 févr 2020;5 392
18 févr 2020;4 958
19 févr 2020;4 906
20 févr 2020;5 306
21 févr 2020;5 722
22 févr 2020;4 845
23 févr 2020;5 460
24 févr 2020;5 593
25 févr 2020;5 162
26 févr 2020;5 050
27 févr 2020;5 448
28 févr 2020;5 685
29 févr 2020;4 531
1 mars 2020;5 266
2 mars 2020;5 503
3 mars 2020;5 089
4 mars 2020;4 891
5 mars 2020;4 995
6 mars 2020;5 309
7 mars 2020;4 340
8 mars 2020;4 953
9 mars 2020;5 175
10 mars 2020;4 470
11 mars 2020;4 332
12 mars 2020;4 903
13 mars 2020;5 158
14 mars 2020;4 093
15 mars 2020;4 448
16 mars 2020;4 489
17 mars 2020;3 575
18 mars 2020;3 258
19 mars 2020;3 278
20 mars 2020;3 265
21 mars 2020;1 926
22 mars 2020;1 904
23 mars 2020;1 663
24 mars 2020;1 348
25 mars 2020;1 071
26 mars 2020;1 098
27 mars 2020;1 053
28 mars 2020;733
29 mars 2020;706
30 mars 2020;658
31 mars 2020;677
1 avr 2020;680
2 avr 2020;642
3 avr 2020;667
4 avr 2020;465
5 avr 2020;462
6 avr 2020;506
7 avr 2020;564
8 avr 2020;591
9 avr 2020;563
10 avr 2020;473
11 avr 2020;341
12 avr 2020;346
13 avr 2020;353
14 avr 2020;501
15 avr 2020;563
16 avr 2020;585
17 avr 2020;553
18 avr 2020;391
19 avr 2020;399
20 avr 2020;542
21 avr 2020;530
22 avr 2020;613
23 avr 2020;602
24 avr 2020;602
25 avr 2020;417
26 avr 2020;406
27 avr 2020;561
28 avr 2020;564
29 avr 2020;642
30 avr 2020;643
1 mai 2020;611
2 mai 2020;416
3 mai 2020;474
4 mai 2020;585
5 mai 2020;603
6 mai 2020;714
7 mai 2020;678
8 mai 2020;573
9 mai 2020;432
10 mai 2020;513
11 mai 2020;638
12 mai 2020;659
13 mai 2020;697
14 mai 2020;694
15 mai 2020;707
16 mai 2020;486
17 mai 2020;497
18 mai 2020;684
19 mai 2020;658
20 mai 2020;761
21 mai 2020;692
22 mai 2020;696
23 mai 2020;562
24 mai 2020;554
25 mai 2020;628
26 mai 2020;750
27 mai 2020;820
28 mai 2020;729
29 mai 2020;841
30 mai 2020;553
31 mai 2020;551
1 juin 2020;714
2 juin 2020;819
3 juin 2020;891
4 juin 2020;888
5 juin 2020;939
6 juin 2020;694
7 juin 2020;728
8 juin 2020;793
9 juin 2020;772
10 juin 2020;834
11 juin 2020;780
12 juin 2020;844
13 juin 2020;555
14 juin 2020;617
15 juin 2020;863
16 juin 2020;831
17 juin 2020;884
18 juin 2020;903
19 juin 2020;933
20 juin 2020;612
21 juin 2020;731
22 juin 2020;998
23 juin 2020;950
24 juin 2020;1 012
25 juin 2020;1 054
26 juin 2020;1 051
27 juin 2020;718
28 juin 2020;767
29 juin 2020;963
30 juin 2020;1 023
1 juil 2020;1 583
2 juil 2020;1 556
3 juil 2020;1 669
4 juil 2020;1 337
5 juil 2020;1 413
6 juil 2020;1 602
7 juil 2020;1 533
8 juil 2020;1 606
9 juil 2020;1 691
10 juil 2020;1 907
11 juil 2020;1 548
12 juil 2020;1 594
13 juil 2020;1 698
14 juil 2020;1 676
15 juil 2020;1 881
16 juil 2020;2 115
17 juil 2020;2 264
18 juil 2020;1 994
19 juil 2020;2 030
20 juil 2020;2 138
21 juil 2020;2 044
22 juil 2020;2 101
23 juil 2020;2 166
24 juil 2020;2 419
25 juil 2020;2 223
26 juil 2020;2 237
27 juil 2020;2 156
28 juil 2020;2 066
29 juil 2020;2 163
30 juil 2020;2 191
31 juil 2020;2 529
1 août 2020;2 816
2 août 2020;2 765
3 août 2020;2 865
4 août 2020;2 499
5 août 2020;2 578
6 août 2020;2 687
7 août 2020;2 977
8 août 2020;2 688
9 août 2020;2 775
10 août 2020;2 832
11 août 2020;2 491
12 août 2020;2 544
13 août 2020;2 566
14 août 2020;3 018
15 août 2020;2 702
16 août 2020;2 779
17 août 2020;2 780
18 août 2020;2 502
19 août 2020;2 621
20 août 2020;2 712
21 août 2020;2 963
22 août 2020;2 726
23 août 2020;2 831
24 août 2020;2 922
25 août 2020;2 513
26 août 2020;2 694
27 août 2020;2 800
28 août 2020;3 154
29 août 2020;2 813
30 août 2020;2 954
31 août 2020;3 008
1 sept 2020;2 702
2 sept 2020;2 576
3 sept 2020;2 726
4 sept 2020;3 053
5 sept 2020;2 608
6 sept 2020;2 827
7 sept 2020;2 758
8 sept 2020;2 444
9 sept 2020;2 508
10 sept 2020;2 653
11 sept 2020;3 112
12 sept 2020;2 513
13 sept 2020;2 778
14 sept 2020;2 754
15 sept 2020;2 437
16 sept 2020;2 481
17 sept 2020;2 689
18 sept 2020;3 068
19 sept 2020;2 454
20 sept 2020;2 771
21 sept 2020;2 716
22 sept 2020;2 373
23 sept 2020;2 409
24 sept 2020;2 595
25 sept 2020;2 979
26 sept 2020;2 433
27 sept 2020;2 693
28 sept 2020;2 688
29 sept 2020;2 330
30 sept 2020;2 308
1 oct 2020;2 357
2 oct 2020;2 787
3 oct 2020;2 255
4 oct 2020;2 430
5 oct 2020;2 459
6 oct 2020;2 096
7 oct 2020;2 137
8 oct 2020;2 308
9 oct 2020;2 689
10 oct 2020;2 127
11 oct 2020;2 315
12 oct 2020;2 284
13 oct 2020;1 902
14 oct 2020;1 984
15 oct 2020;2 144
16 oct 2020;2 663
17 oct 2020;2 166
18 oct 2020;2 231
19 oct 2020;2 109
20 oct 2020;1 767
21 oct 2020;1 834
22 oct 2020;2 022
23 oct 2020;2 408
24 oct 2020;2 028
25 oct 2020;2 238
26 oct 2020;2 148
27 oct 2020;1 753
28 oct 2020;1 833
29 oct 2020;2 028
30 oct 2020;2 497
31 oct 2020;2 021
1 nov 2020;2 259
2 nov 2020;2 034
3 nov 2020;1 716
4 nov 2020;1 825
5 nov 2020;1 649
6 nov 2020;1 954
7 nov 2020;1 403
8 nov 2020;1 536
9 nov 2020;1 440
10 nov 2020;1 239
11 nov 2020;1 245
12 nov 2020;1 337
13 nov 2020;1 531
14 nov 2020;983
15 nov 2020;1 164
16 nov 2020;1 277
17 nov 2020;1 104
18 nov 2020;1 092
19 nov 2020;1 246
20 nov 2020;1 286
21 nov 2020;889
22 nov 2020;1 005
23 nov 2020;1 146
24 nov 2020;1 071
25 nov 2020;1 125
26 nov 2020;1 160
27 nov 2020;1 238
28 nov 2020;885
29 nov 2020;1 013
30 nov 2020;1 158
1 déc 2020;1 160
2 déc 2020;1 276
3 déc 2020;1 374
4 déc 2020;1 602
5 déc 2020;1 168
6 déc 2020;1 299
7 déc 2020;1 349
8 déc 2020;1 333
9 déc 2020;1 455
10 déc 2020;1 648
11 déc 2020;1 892
12 déc 2020;1 450
13 déc 2020;1 559
14 déc 2020;1 582
